code,config,period,d_qsim_l2_rel,d_qsim_max_abs,d_qsim_max_norm,n_steps
Q055401001,GR4J_NSE,cal,3.754735268891739e-15,1.1013412404281553e-13,1.0265181630025727e-13,3653
U012401001,GR4J_NSE,cal,5.287146133660607e-15,1.1013412404281553e-13,7.929701933940306e-14,3653
U041501001,GR4J_NSE,cal,2.1029359077609e-15,4.707345624410664e-14,1.510335384803326e-14,3653
U044431001,GR4J_NSE,cal,2.321253145341144e-15,3.8191672047105385e-14,1.8540873395798908e-14,3653
U047401001,GR4J_NSE,cal,2.7128089551489726e-15,3.375077994860476e-14,1.8585066087790586e-14,3653
U063501001,GR4J_NSE,cal,3.9782452498862135e-15,5.10702591327572e-14,5.522877610917467e-14,3653
U303401001,GR4J_NSE,cal,6.04208060986532e-15,4.085620730620576e-14,6.108244227496709e-14,3653
U342401001,GR4J_NSE,cal,2.185128742797945e-15,4.796163466380676e-14,3.753462837073544e-14,3653
U452521001,GR4J_NSE,cal,1.0551368724333856e-14,1.3855583347321954e-13,2.4238176202231635e-13,3653
U463501001,GR4J_NSE,cal,4.50978496846527e-15,1.2079226507921703e-13,1.960859656518688e-13,3653
V125501001,GR4J_NSE,cal,8.167706349536954e-15,1.7319479184152442e-13,8.030304751849669e-14,3653
V301501001,GR4J_NSE,cal,4.835835594532558e-15,9.947598300641403e-14,1.6922657985158529e-13,3653
V445501001,GR4J_NSE,cal,6.199147118876067e-15,8.526512829121202e-14,1.0876402596517769e-13,3653
V504661001,GR4J_NSE,cal,1.5703557070774933e-15,8.881784197001252e-14,3.773576545016699e-14,3653
V713501001,GR4J_NSE,cal,2.3213993099383485e-15,2.0961010704922955e-13,1.065147104109891e-13,3653
Y028406001,GR4J_NSE,cal,4.467995027210123e-15,1.5631940186722204e-13,2.2075985619024532e-13,3653
Y062402001,GR4J_NSE,cal,1.187477057731952e-15,5.0182080713057076e-14,4.039330251610647e-14,3653
Y152401001,GR4J_NSE,cal,1.9681546894210588e-14,4.014566457044566e-13,5.355603513408579e-13,3653
Y503201001,GR4J_NSE,cal,1.2868303738794989e-14,9.769962616701378e-14,2.7375825109222246e-13,3653
Y510661001,GR4J_NSE,cal,1.3124823619262235e-14,2.8066438062523957e-13,7.012118494162125e-13,3653
Y523501001,GR4J_NSE,cal,1.3352107310241917e-14,1.0746958878371515e-13,3.042607915525415e-13,3653
Y531201001,GR4J_NSE,cal,7.0327236120784676e-15,8.704148513061227e-14,2.450415605729617e-13,3653
Y561501001,GR4J_NSE,cal,2.1935260684080128e-14,4.4586556668946287e-13,3.3179977760880475e-13,3653
Y643401001,GR4J_NSE,cal,1.443996544843636e-14,2.4513724383723456e-13,2.412440286689501e-13,3653
A433301001,GR4J_NSE,val,5.325416415953046e-15,8.038014698286133e-14,4.637906413272712e-14,3652
A543101001,GR4J_NSE,val,2.384854408740472e-15,3.375077994860476e-14,4.1789185944975904e-14,3652
A673122001,GR4J_NSE,val,5.011443047053381e-15,5.595524044110789e-14,7.566328517140193e-14,3652
A843101001,GR4J_NSE,val,3.469093926386937e-15,3.197442310920451e-14,4.756538865518063e-14,3652
A983201001,GR4J_NSE,val,3.464427631209897e-15,3.907985046680551e-14,4.792134758987915e-14,3652
B134001001,GR4J_NSE,val,2.9381577656604127e-15,2.9753977059954195e-14,3.534876958124411e-14,3652
B413201001,GR4J_NSE,val,7.123316254780543e-15,3.3306690738754696e-14,4.408625281534781e-14,3652
B422431001,GR4J_NSE,val,1.764709438031056e-14,1.1102230246251565e-13,1.060006156571102e-13,3652
