category,case,name,kind,n_values,max_abs,max_rel,worst
"Snow module, band by band",CemaNeigeGR4J / band 3,Psol,series,2191,7.105427357601002e-15,6.381219642072943e-14,1.9984014443252818e-15
"Snow module, band by band",CemaNeigeGR4J / band 3,SnowPack,series,2191,7.389644451905042e-13,7.306597603712683e-13,1.8579879298433367e-14
"Snow module, band by band",CemaNeigeGR4J / band 3,ThermalState,series,2191,1.7763568394002505e-15,1.1658748419205566e-14,4.996003610813204e-16
"Snow module, band by band",CemaNeigeGR4J / band 3,Gratio,series,2191,3.6637359812630166e-15,8.441357189014378e-13,3.6637359812630166e-15
"Snow module, band by band",CemaNeigeGR4J / band 3,PotMelt,series,2191,4.511946372076636e-13,7.306597603712683e-13,1.8579879298433367e-14
"Snow module, band by band",CemaNeigeGR4J / band 3,Melt,series,2191,8.348877145181177e-14,7.45864511962301e-13,2.207637311950272e-14
"Snow module, band by band",CemaNeigeGR4J / band 3,PliqAndMelt,series,2191,8.348877145181177e-14,7.107736695542691e-13,2.207637311950272e-14
"Snow module, band by band",CemaNeigeGR4J / band 3,Temp,series,2191,0.0,0.0,0.0
"Snow module, band by band",CemaNeigeGR4J / band 3,Gthreshold,series,2191,2.1600499167107046e-12,3.608972260688151e-15,3.608972260688151e-15
"Snow module, band by band",CemaNeigeGR4J / band 3,Glocalmax,series,2191,0.0,0.0,0.0
"Snow module, band by band",CemaNeigeGR4J / band 4,Pliq,series,2191,7.105427357601002e-15,4.553347939510228e-14,1.2212453270876722e-15
"Snow module, band by band",CemaNeigeGR4J / band 4,Psol,series,2191,7.105427357601002e-15,3.465328019470301e-14,1.795764819452855e-15
"Snow module, band by band",CemaNeigeGR4J / band 4,SnowPack,series,2191,9.379164112033322e-13,8.020268729451563e-13,1.9351113733078578e-14
"Snow module, band by band",CemaNeigeGR4J / band 4,ThermalState,series,2191,2.6645352591003757e-15,2.3268445199782922e-14,3.9909176227474306e-16
"Snow module, band by band",CemaNeigeGR4J / band 4,Gratio,series,2191,3.774758283725532e-15,9.061030304564712e-13,3.774758283725532e-15
"Snow module, band by band",CemaNeigeGR4J / band 4,PotMelt,series,2191,5.222489107836736e-13,8.020268729451563e-13,1.9351113733078578e-14
"Snow module, band by band",CemaNeigeGR4J / band 4,Melt,series,2191,9.85878045867139e-14,7.806068478373704e-13,2.350364162608701e-14
"Snow module, band by band",CemaNeigeGR4J / band 4,PliqAndMelt,series,2191,9.85878045867139e-14,7.806068478373704e-13,2.30468421337915e-14
"Snow module, band by band",CemaNeigeGR4J / band 4,Temp,series,2191,3.552713678800501e-15,2.2350756352264708e-14,5.814360285030543e-16
"Snow module, band by band",CemaNeigeGR4J / band 4,Gthreshold,series,2191,2.1600499167107046e-12,3.608972260688151e-15,3.608972260688151e-15
"Snow module, band by band",CemaNeigeGR4J / band 4,Glocalmax,series,2191,0.0,0.0,0.0
"Snow module, band by band",CemaNeigeGR4J / band 5,Pliq,series,2191,7.105427357601002e-15,9.153162404944576e-14,1.367880468851984e-15
"Snow module, band by band",CemaNeigeGR4J / band 5,Psol,series,2191,1.4210854715202004e-14,2.6831447287768395e-14,4.805050182615627e-15
"Snow module, band by band",CemaNeigeGR4J / band 5,SnowPack,series,2191,9.379164112033322e-13,6.00944110723441e-13,2.091782511703161e-14
"Snow module, band by band",CemaNeigeGR4J / band 5,ThermalState,series,2191,2.6645352591003757e-15,1.9130382303842905e-14,5.831956136962823e-16
"Snow module, band by band",CemaNeigeGR4J / band 5,Gratio,series,2191,3.774758283725532e-15,8.977564668246246e-13,3.774758283725532e-15
"Snow module, band by band",CemaNeigeGR4J / band 5,PotMelt,series,2191,5.329070518200751e-13,2.743643595422157e-13,2.091782511703161e-14
"Snow module, band by band",CemaNeigeGR4J / band 5,Melt,series,2191,1.1368683772161603e-13,6.17011468259862e-13,2.4780594733873867e-14
"Snow module, band by band",CemaNeigeGR4J / band 5,PliqAndMelt,series,2191,1.1368683772161603e-13,3.3039099964317117e-13,2.3569733531351035e-14
"Snow module, band by band",CemaNeigeGR4J / band 5,Temp,series,2191,5.329070518200751e-15,4.557900897664552e-13,6.440244552271463e-16
"Snow module, band by band",CemaNeigeGR4J / band 5,Gthreshold,series,2191,2.1600499167107046e-12,3.608972260688151e-15,3.608972260688151e-15
"Snow module, band by band",CemaNeigeGR4J / band 5,Glocalmax,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR5J,PotEvap,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR5J,Precip,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR5J,Prod,series,2191,4.547473508864641e-13,7.783195821671236e-15,7.783195821671236e-15
