code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
B422431001,CemaNeigeGR4J_NSE,1.6147496099678157e-16,1.6147496099678157e-16,1.0426494268047772e-17,2.387671548149658e-15,2.387671548149658e-15,1.686724071245013e-14,2.0803746106309885e-14,3.0221800731428904e-14,0.697472203925325,0.709774391211013,0.822765741261457,0.661244993997681,1075,1076,33,33
B460101001,GR4J_NSE,0.0,0.0,0.0,1.498034740554146e-15,1.498034740554146e-15,3.746740871592133e-15,2.8990901291272156e-15,4.023739235283403e-15,0.88934361365836,0.842502490569573,0.918582708089839,0.800162879140001,271,271,25,25
B460101001,GR4J_KGE,1.275188224458138e-16,1.275188224458138e-16,2.606623567011943e-18,2.708562574525525e-15,0.0,2.708562574525525e-15,2.5339500596641895e-15,3.874724070596043e-15,0.885541974803459,0.832464609451438,0.942755755637351,0.802282798029601,506,506,52,52
B460101001,GR5J_NSE,8.664029411629699e-16,8.664029411629699e-16,1.0426494268047772e-17,0.0,0.0,2.384333366501352e-16,1.2542139945419828e-15,2.782571820293404e-15,0.910030266589069,0.885194256687106,0.931264931509339,0.837882542585007,532,532,31,31
B460101001,GR6J_NSE,5.850874762681397e-16,5.850874762681397e-16,6.516558917529857e-19,2.414928219616274e-16,2.414928219616274e-16,1.6675276661185899e-15,6.302158106035073e-16,7.927683165040901e-16,0.919466686924192,0.880827651373888,0.932105815127556,0.84026291276697,1168,1168,39,39
B460101001,CemaNeigeGR4J_NSE,2.1524165380593248e-16,2.1524165380593248e-16,6.516558917529857e-19,7.474212522149704e-16,7.474212522149704e-16,1.46404653996042e-15,2.889178167998532e-15,4.238957841667845e-15,0.891242806919147,0.845392880656914,0.909989944435923,0.811919227529715,1053,1054,31,31
B463101001,GR4J_NSE,0.0,0.0,0.0,1.7700247114436832e-15,1.7700247114436832e-15,5.120936446906328e-15,9.75312462380264e-15,1.68159611007399e-14,0.87813024554187,0.774061324821623,0.9322433612259,0.693230775733135,258,258,24,24
B463101001,GR4J_KGE,1.1709900718382366e-16,1.1709900718382366e-16,3.2582794587649287e-19,3.903021181289563e-15,3.7969063860476834e-16,3.903021181289563e-15,6.503320097254635e-15,1.07091844382052e-14,0.877206002790726,0.78529517798634,0.938692313233236,0.715324207377032,455,455,46,46
B463101001,GR5J_NSE,7.329471410091731e-16,7.329471410091731e-16,1.0426494268047772e-17,1.3563849127484717e-15,1.3563849127484717e-15,2.9958514458401255e-15,2.575023458830544e-16,1.601139459338692e-15,0.900367820085109,0.86230128958077,0.926467020057646,0.762735138382059,492,493,27,27
B463101001,GR6J_NSE,8.203020453093606e-16,8.203020453093606e-16,6.5165589175298575e-18,2.419888248218825e-16,2.419888248218825e-16,3.5756265155742605e-16,0.0,2.298607062348403e-15,0.917582062264523,0.860403060777118,0.931492441777172,0.772797085894886,1148,1147,37,37
B463101001,CemaNeigeGR4J_NSE,1.8868992950730558e-16,1.8868992950730558e-16,5.213247134023886e-18,1.3900565995664184e-15,1.3900565995664184e-15,1.9043695722140485e-15,7.291330728808373e-15,1.0425969199432832e-14,0.878557986393215,0.776557481231367,0.932779469551717,0.702809669044931,1077,1078,33,33
B532201001,GR4J_NSE,3.6204241306849406e-16,3.6204241306849406e-16,6.516558917529857e-19,1.2784319948537137e-16,1.2784319948537137e-16,6.120738045525823e-16,1.7423208105628607e-15,1.8214145990888934e-15,0.868425562794363,0.828372090411091,0.906935582251159,0.914308328137244,217,217,19,19
