code,aridity,runoff_coef,p_mean_mm_d,e_mean_mm_d,q_mean_mm_d,snow_frac,z_median_m,gap_cal,gap_val,stratum
U012401001,0.6203482595736521,0.48922931446201035,2.991968709256845,1.8560625814863103,1.4637588005215123,0.0578247285213784,384.0,0.0,0.0,2-0-1
U041501001,0.4236781700780548,0.6969854048551609,4.254354628422425,1.802477183833116,2.9652230830884316,0.07791899702429292,569.0,0.001368738023542294,0.04901423877327492,2-0-1
U044431001,0.5236384104133507,0.5796325995061191,3.4976662320730116,1.8315123859191655,2.0273613703012527,0.06395275672733915,487.0,0.0,0.014238773274917854,2-0-1
U047401001,0.526846119567339,0.5268991894051832,3.540143415906128,1.8651108213820076,1.8652986962190352,0.05512696618040798,341.0,0.0,0.0,2-0-1
U063501001,0.7124750811085485,0.37141754289958173,2.668370273794003,1.901147327249022,0.9910795306388527,0.035558622913653595,260.0,0.0,0.0,1-1-1
U303401001,0.830001583513981,0.28340549784400537,2.3877053455019563,1.981799217731421,0.6766888221467747,0.03699924100536756,283.0,0.0,0.0019167579408543264,1-2-1
U342401001,0.5998943207170536,0.3765255000195703,3.33102998696219,1.998265971316819,1.2542177314211214,0.039067517319660267,220.0,0.0,0.0,1-0-1
U452521001,0.9645877440950004,0.24230219256654772,2.204615384615385,2.1265449804432857,0.5341831414582506,0.027929199143671566,307.0,0.030933479332055844,0.0,2-2-0
U463501001,0.8651287991986076,0.22697785267570658,2.3297131681877445,2.0155019556714473,0.5287932922655715,0.05406219744919944,533.0,0.0963591568573775,0.0035596933187294635,2-2-1
V125501001,0.3442869137444284,0.4921865397738363,4.627405475880051,1.5931551499348109,2.2775466893039047,0.24175418824417758,1152.0,0.0,0.0035596933187294635,3-0-1
V301501001,0.912329975395757,0.24402087878928555,2.2467796610169493,2.0498044328552805,0.5482611473272491,0.040685262986862265,465.0,0.0,0.0,2-2-1
V445501001,0.7910484569081794,0.3165476727512365,2.5905084745762714,2.049217731421121,0.8200194288694744,0.048887222434723085,501.0,0.0,0.0002738225629791895,2-2-1
V504661001,0.4387376562779145,0.6400805185959666,3.7218904823989574,1.632933507170795,2.382309590131317,0.13517555321243285,1119.0,0.0,0.03587075575027382,3-0-1
V713501001,0.5502148618273173,0.5341565176285094,3.9441981747066492,2.170156453715776,2.1068191618380268,0.022790658468861563,511.0,0.06624692033944703,0.0013691128148959474,2-0-0
Y028406001,0.8202515372273105,0.28627560005318425,2.6165058670143413,2.14619295958279,0.7490417871222077,0.07279361789063513,704.0,0.01642485628250753,0.0,3-2-1
Y062402001,0.8038423650455278,0.42081768916792955,2.5014471968709255,2.0107692307692306,1.0526532289628179,0.08480316479117694,704.0,0.0,0.0013691128148959474,3-2-1
Y152401001,0.9154963090850736,0.30714587726406234,2.3561147327249023,2.157014341590613,0.7236709265175719,0.03757605940878958,546.0,0.041609635915685735,0.0016429353778751369,2-2-1
Y503201001,1.048441663423251,0.21558955818957204,2.1773794002607563,2.2828552803129076,0.46942026291329175,0.016460704769318282,388.0,0.0,0.03806133625410734,2-2-0
Y510661001,0.9445643518712544,0.19670848324242204,2.488761408083442,2.3507953063885267,0.48956048173636846,0.010652791165500188,328.0,0.0002737476047084588,0.02053669222343921,2-2-0
